nest,nest_success
03-SRB1-2-1,yes
03-SRB1-2-1,yes
03-SRB1-2-1,yes
03-SRB1-2-1,yes
03-SRB1-2-1,yes
03-SRB1-2-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-1-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-MRC1-2-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-DRT1-1-1,yes
03-SRB1-3-1,yes
03-SRB1-3-1,yes
03-SRB1-3-1,yes
